#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Season
31,Al Horford,ATL,12,467.9,136,58,137,0.423,0,2,0.0,20,26,0.769,25,90,115,42,5,12,17,33,2010-2011
32,Kevin Garnett,BOS,9,327.7,134,56,127,0.441,0,1,0.0,22,29,0.759,21,77,98,23,17,9,19,27,2010-2011
33,Peja Stojakovic,DAL,19,350.1,134,49,120,0.408,29,77,0.377,7,9,0.778,3,29,32,7,12,2,9,21,2010-2011
34,Chris Paul,NOP,6,250.1,132,42,77,0.545,9,19,0.474,39,49,0.796,3,37,40,69,11,0,22,11,2010-2011
35,Pau Gasol,LAL,10,357.9,131,47,112,0.42,1,2,0.5,36,45,0.8,32,46,78,38,4,17,17,33,2010-2011
36,Rajon Rondo,BOS,9,345.3,126,51,107,0.477,0,3,0.0,24,38,0.632,11,38,49,86,10,0,33,16,2010-2011
37,LaMarcus Aldridge,POR,6,258.0,125,53,115,0.461,0,0,0.0,19,24,0.792,16,29,45,8,8,10,9,19,2010-2011
38,Lamar Odom,LAL,10,285.9,121,45,98,0.459,4,20,0.2,27,38,0.711,13,52,65,21,2,4,15,25,2010-2011
39,Tony Parker,SAS,6,221.1,118,43,93,0.462,1,8,0.125,31,41,0.756,1,15,16,31,8,2,20,10,2010-2011
40,Nick Collison,OKC,17,413.0,114,48,76,0.632,0,0,0.0,18,23,0.783,47,51,98,15,15,15,13,63,2010-2011
41,Tony Allen,MEM,13,350.0,114,43,101,0.426,1,7,0.143,27,41,0.659,15,23,38,20,25,5,24,43,2010-2011
42,Danny Granger,IND,5,183.4,108,43,90,0.478,8,23,0.348,14,16,0.875,6,22,28,16,6,1,7,12,2010-2011
43,Kyle Korver,CHI,16,275.7,105,38,98,0.388,22,52,0.423,7,7,1.0,1,18,19,17,8,3,16,35,2010-2011
44,Carmelo Anthony,NYK,4,155.5,104,33,88,0.375,9,26,0.346,29,34,0.853,13,28,41,19,5,3,13,16,2010-2011
45,Manu Ginobili,SAS,5,174.3,103,31,70,0.443,9,28,0.321,32,41,0.78,2,18,20,21,13,3,17,13,2010-2011
46,Sam Young,MEM,13,255.9,98,43,96,0.448,3,12,0.25,9,15,0.6,7,23,30,2,6,3,8,18,2010-2011
47,Taj Gibson,CHI,16,283.7,95,43,76,0.566,0,1,0.0,9,15,0.6,26,40,66,9,5,22,14,32,2010-2011
48,Metta World Peace,LAL,9,286.7,95,35,79,0.443,9,28,0.321,16,21,0.762,17,24,41,20,10,7,9,23,2010-2011
49,Carl Landry,NOP,6,212.7,95,31,68,0.456,0,0,0.0,33,36,0.917,11,19,30,6,4,3,12,25,2010-2011
50,Jeff Teague,ATL,8,238.1,94,37,72,0.514,1,7,0.143,19,23,0.826,0,17,17,28,6,3,8,10,2010-2011
51,DeShawn Stevenson,DAL,21,332.4,94,29,83,0.349,27,68,0.397,9,12,0.75,1,18,19,12,11,2,10,40,2010-2011
52,Trevor Ariza,NOP,6,241.0,93,35,85,0.412,7,21,0.333,16,22,0.727,7,32,39,20,8,3,7,16,2010-2011
53,Darrell Arthur,MEM,13,200.8,92,39,85,0.459,1,1,1.0,13,17,0.765,14,15,29,7,7,12,12,30,2010-2011
54,Gerald Wallace,POR,6,225.6,91,30,67,0.448,3,17,0.176,28,32,0.875,9,46,55,17,8,3,15,19,2010-2011
55,Andre Miller,POR,6,193.5,89,33,67,0.493,4,10,0.4,19,24,0.792,5,14,19,33,2,0,13,17,2010-2011
56,Derek Fisher,LAL,10,325.5,82,29,67,0.433,7,17,0.412,17,21,0.81,1,26,27,36,14,2,8,25,2010-2011
57,Eric Maynor,OKC,17,220.2,82,29,77,0.377,9,25,0.36,15,19,0.789,5,17,22,37,9,0,16,16,2010-2011
58,Keith Bogans,CHI,16,307.3,82,28,69,0.406,25,59,0.424,1,4,0.25,4,16,20,12,10,3,7,26,2010-2011
59,Thabo Sefolosha,OKC,17,344.5,79,31,67,0.463,4,26,0.154,13,13,1.0,12,41,53,12,16,5,15,24,2010-2011
60,Jameer Nelson,ORL,6,216.4,79,31,82,0.378,6,26,0.231,11,14,0.786,7,18,25,30,12,0,8,14,2010-2011
61,Ty Lawson,DEN,5,166.9,78,26,52,0.5,5,11,0.455,21,23,0.913,7,10,17,19,5,1,6,9,2010-2011
62,Elton Brand,PHI,5,185.1,78,34,62,0.548,0,0,0.0,10,13,0.769,12,30,42,3,2,6,4,21,2010-2011
63,James Jones,MIA,12,271.9,78,24,51,0.471,17,37,0.459,13,13,1.0,3,27,30,2,6,2,4,24,2010-2011
64,Wesley Matthews,POR,6,202.0,78,27,57,0.474,8,21,0.381,16,19,0.842,2,5,7,6,4,1,7,15,2010-2011
65,Kendrick Perkins,OKC,17,478.6,77,29,64,0.453,0,0,0.0,19,33,0.576,37,66,103,13,4,13,27,57,2010-2011
66,Tim Duncan,SAS,6,212.0,76,33,69,0.478,0,0,0.0,10,16,0.625,16,47,63,16,3,15,18,17,2010-2011
67,Mike Bibby,MIA,20,414.8,73,27,96,0.281,17,66,0.258,2,4,0.5,5,31,36,23,11,6,17,30,2010-2011
68,Shane Battier,MEM,13,339.3,72,29,66,0.439,8,29,0.276,6,9,0.667,17,35,52,15,7,6,6,27,2010-2011
69,Shannon Brown,LAL,10,165.9,72,28,61,0.459,7,25,0.28,9,14,0.643,5,14,19,7,6,2,9,10,2010-2011
70,Jrue Holiday,PHI,5,188.0,71,24,58,0.414,11,21,0.524,12,15,0.8,3,16,19,28,10,2,11,10,2010-2011
71,Maybyner Nene,DEN,5,162.0,71,22,46,0.478,0,0,0.0,27,48,0.563,14,31,45,8,5,4,8,17,2010-2011
72,George Hill,SAS,6,189.3,70,20,50,0.4,4,15,0.267,26,30,0.867,5,25,30,14,9,2,8,15,2010-2011
73,Jeff Green,BOS,9,172.6,66,23,53,0.434,7,16,0.438,13,18,0.722,6,18,24,2,5,4,12,20,2010-2011
74,Ronnie Brewer,CHI,16,260.4,64,24,50,0.48,3,7,0.429,13,17,0.765,7,27,34,15,12,6,4,14,2010-2011
75,Daequan Cook,OKC,17,195.2,64,22,56,0.393,16,46,0.348,4,4,1.0,1,26,27,1,3,0,7,17,2010-2011
76,Udonis Haslem,MIA,12,290.0,63,27,68,0.397,0,0,0.0,9,10,0.9,13,41,54,9,6,4,11,31,2010-2011
77,Kirk Hinrich,ATL,6,173.3,61,26,52,0.5,8,19,0.421,1,1,1.0,1,13,14,16,7,2,4,21,2010-2011
78,Danilo Gallinari,DEN,5,147.7,60,19,44,0.432,7,15,0.467,15,21,0.714,1,16,17,10,4,0,7,17,2010-2011
79,Kenyon Martin,DEN,5,148.2,59,24,50,0.48,0,0,0.0,11,18,0.611,6,33,39,8,2,2,7,18,2010-2011
80,Delonte West,BOS,9,170.1,59,22,47,0.468,7,19,0.368,8,10,0.8,4,13,17,12,5,0,12,16,2010-2011
81,Joel Anthony,MIA,21,574.7,58,18,49,0.367,0,0,0.0,22,31,0.71,35,62,97,10,8,38,13,54,2010-2011
82,Raymond Felton,DEN,5,151.8,58,18,50,0.36,4,16,0.25,18,24,0.75,0,9,9,21,6,0,10,10,2010-2011
83,Amar'e Stoudemire,NYK,4,133.5,58,21,55,0.382,0,0,0.0,16,24,0.667,11,20,31,7,1,3,12,10,2010-2011
84,Marco Belinelli,NOP,6,172.9,58,23,63,0.365,8,26,0.308,4,4,1.0,0,5,5,4,5,0,4,12,2010-2011
85,Andre Iguodala,PHI,5,181.9,57,22,52,0.423,3,14,0.214,10,14,0.714,7,28,35,34,5,2,14,16,2010-2011
86,Marvin Williams,ATL,12,216.0,57,22,56,0.393,3,11,0.273,10,13,0.769,10,17,27,6,9,7,12,18,2010-2011
87,Thaddeus Young,PHI,5,126.8,57,25,60,0.417,0,1,0.0,7,12,0.583,17,12,29,4,4,1,7,13,2010-2011
88,Brendan Haywood,DAL,18,274.6,56,18,31,0.581,0,0,0.0,20,43,0.465,34,39,73,4,2,18,13,48,2010-2011
89,Greivis Vasquez,MEM,13,141.5,56,21,41,0.512,4,11,0.364,10,13,0.769,3,16,19,25,5,2,9,11,2010-2011
90,Brandon Roy,POR,6,137.8,56,22,44,0.5,4,14,0.286,8,13,0.615,2,11,13,17,1,0,4,13,2010-2011
91,Tyler Hansbrough,IND,5,164.1,56,20,60,0.333,0,0,0.0,16,18,0.889,13,14,27,5,6,0,9,13,2010-2011
92,Hedo Turkoglu,ORL,6,209.2,55,20,68,0.294,7,30,0.233,8,14,0.571,1,18,19,22,8,1,7,18,2010-2011
93,Lou Williams,PHI,5,129.7,54,17,52,0.327,6,20,0.3,14,19,0.737,0,8,8,15,5,0,4,6,2010-2011
94,Jermaine O'Neal,BOS,9,197.2,52,21,43,0.488,0,0,0.0,10,11,0.909,15,23,38,8,2,16,8,34,2010-2011
95,Roy Hibbert,IND,5,131.7,52,20,45,0.444,0,0,0.0,12,17,0.706,15,19,34,3,2,9,13,21,2010-2011
96,C.J. Watson,CHI,16,136.4,51,19,56,0.339,3,15,0.2,10,11,0.909,2,12,14,31,8,0,17,15,2010-2011
97,Jason Richardson,ORL,5,153.3,50,17,51,0.333,8,25,0.32,8,8,1.0,5,15,20,6,3,2,3,16,2010-2011
98,J.R. Smith,DEN,5,76.5,49,16,45,0.356,9,21,0.429,8,11,0.727,1,9,10,5,2,0,8,8,2010-2011
99,Nicolas Batum,POR,6,150.9,48,19,46,0.413,7,26,0.269,3,4,0.75,1,9,10,8,5,5,7,14,2010-2011
100,Mike Miller,MIA,18,215.0,47,18,53,0.34,11,37,0.297,0,0,0.0,9,40,49,13,7,1,8,26,2010-2011
101,Darren Collison,IND,5,145.8,47,18,46,0.391,4,6,0.667,7,11,0.636,4,9,13,20,5,2,9,7,2010-2011
102,Gary Neal,SAS,6,110.8,46,17,46,0.37,5,19,0.263,7,7,1.0,2,16,18,5,1,1,2,11,2010-2011
103,Brandon Bass,ORL,6,139.2,44,16,38,0.421,0,0,0.0,12,13,0.923,12,13,25,2,3,5,7,7,2010-2011
104,Emeka Okafor,NOP,6,187.7,44,20,31,0.645,0,0,0.0,4,11,0.364,17,16,33,0,6,6,12,28,2010-2011
105,Glen Davis,BOS,9,191.3,44,18,46,0.391,0,1,0.0,8,11,0.727,7,25,32,8,3,0,9,21,2010-2011
106,Gilbert Arenas,ORL,5,81.1,43,18,42,0.429,3,12,0.25,4,6,0.667,4,10,14,12,1,1,6,14,2010-2011
107,Toney Douglas,NYK,4,112.1,43,15,41,0.366,7,18,0.389,6,6,1.0,2,11,13,9,2,0,4,12,2010-2011
108,A.J. Price,IND,5,80.0,42,13,35,0.371,7,16,0.438,9,10,0.9,2,5,7,6,3,0,7,5,2010-2011
109,Evan Turner,PHI,5,96.9,40,17,38,0.447,4,5,0.8,2,2,1.0,4,19,23,4,3,1,0,9,2010-2011
110,J.J. Redick,ORL,6,120.2,40,15,42,0.357,1,15,0.067,9,12,0.75,0,11,11,6,1,1,7,8,2010-2011
111,Zaza Pachulia,ATL,11,194.8,39,11,23,0.478,0,0,0.0,17,22,0.773,17,37,54,13,2,1,9,37,2010-2011
112,Richard Jefferson,SAS,6,176.3,39,12,31,0.387,6,17,0.353,9,11,0.818,2,23,25,5,3,3,6,13,2010-2011
113,Jodie Meeks,PHI,5,124.7,39,13,31,0.419,8,18,0.444,5,6,0.833,2,8,10,4,3,0,2,6,2010-2011
114,Matt Bonner,SAS,6,122.5,38,12,25,0.48,6,18,0.333,8,10,0.8,7,12,19,2,1,1,1,18,2010-2011
115,Matt Barnes,LAL,10,131.1,36,15,38,0.395,2,12,0.167,4,7,0.571,11,17,28,5,7,2,6,23,2010-2011
116,Jarrett Jack,NOP,6,111.3,35,12,34,0.353,0,5,0.0,11,16,0.688,1,14,15,13,1,1,8,4,2010-2011
117,Antonio McDyess,SAS,6,145.4,34,15,36,0.417,0,0,0.0,4,7,0.571,10,20,30,8,2,5,7,21,2010-2011
118,Arron Afflalo,DEN,3,85.1,34,12,34,0.353,3,12,0.25,7,8,0.875,0,9,9,7,0,0,3,10,2010-2011
119,Willie Green,NOP,6,83.5,34,14,36,0.389,2,9,0.222,4,7,0.571,1,4,5,4,2,0,3,14,2010-2011
120,Shawne Williams,NYK,4,101.1,32,10,24,0.417,6,14,0.429,6,8,0.75,4,10,14,5,4,4,4,8,2010-2011
121,Zydrunas Ilgauskas,MIA,9,103.6,32,14,30,0.467,0,0,0.0,4,6,0.667,15,17,32,3,0,3,9,16,2010-2011
122,Nazr Mohammed,OKC,14,147.9,32,14,34,0.412,0,0,0.0,4,10,0.4,9,23,32,0,4,6,6,27,2010-2011
123,Paul George,IND,5,132.9,30,10,33,0.303,3,13,0.231,7,8,0.875,5,20,25,5,7,10,7,11,2010-2011
124,Ryan Anderson,ORL,6,147.4,28,8,30,0.267,6,20,0.3,6,6,1.0,10,17,27,3,5,1,1,16,2010-2011
125,Al Harrington,DEN,5,69.7,28,10,22,0.455,5,10,0.5,3,4,0.75,1,6,7,5,3,0,4,7,2010-2011
126,Spencer Hawes,PHI,5,98.0,26,12,33,0.364,0,1,0.0,2,4,0.5,5,14,19,9,0,2,2,11,2010-2011
127,Jared Jeffries,NYK,4,84.7,25,11,23,0.478,0,0,0.0,3,4,0.75,13,7,20,1,3,7,3,7,2010-2011
128,Mike Dunleavy,IND,5,71.9,25,7,20,0.35,3,10,0.3,8,12,0.667,0,6,6,8,4,0,1,3,2010-2011
129,Josh McRoberts,IND,5,78.8,25,8,24,0.333,0,1,0.0,9,11,0.818,8,10,18,6,4,1,5,17,2010-2011
130,Chris Andersen,DEN,5,73.0,24,7,11,0.636,0,0,0.0,10,14,0.714,5,9,14,3,3,7,3,8,2010-2011
131,Wilson Chandler,DEN,5,114.9,24,8,29,0.276,1,7,0.143,7,9,0.778,2,20,22,2,3,4,4,15,2010-2011
132,Ronny Turiaf,NYK,4,74.7,23,8,12,0.667,0,0,0.0,7,10,0.7,4,7,11,4,1,6,3,4,2010-2011
133,Quentin Richardson,ORL,6,98.5,23,8,15,0.533,5,10,0.5,2,2,1.0,3,12,15,2,1,1,2,9,2010-2011
134,Henry Walker,NYK,4,89.1,23,9,30,0.3,3,11,0.273,2,3,0.667,5,8,13,4,5,0,7,9,2010-2011
135,Marcus Camby,POR,6,166.8,21,10,22,0.455,1,1,1.0,0,2,0.0,18,40,58,8,4,9,5,18,2010-2011
136,Aaron Gray,NOP,6,86.9,21,9,13,0.692,0,0,0.0,3,8,0.375,3,18,21,2,2,2,5,13,2010-2011
137,Jason Collins,ATL,12,158.2,21,9,14,0.643,0,0,0.0,3,8,0.375,6,11,17,1,5,3,5,31,2010-2011
138,Steve Blake,LAL,9,145.4,20,7,23,0.304,6,18,0.333,0,0,0.0,1,13,14,20,5,0,5,8,2010-2011
139,Kurt Thomas,CHI,7,74.0,20,10,18,0.556,0,2,0.0,0,0,0.0,9,10,19,3,1,3,3,12,2010-2011
140,Jeff Foster,IND,5,93.2,17,7,12,0.583,0,0,0.0,3,8,0.375,10,14,24,4,2,4,5,14,2010-2011
141,Rudy Fernandez,POR,6,80.9,17,4,18,0.222,3,10,0.3,6,9,0.667,2,10,12,5,2,1,2,7,2010-2011
142,Juwan Howard,MIA,11,60.1,17,4,9,0.444,0,0,0.0,9,13,0.692,3,7,10,1,0,0,2,8,2010-2011
143,Omer Asik,CHI,15,148.0,15,6,13,0.462,0,0,0.0,3,10,0.3,10,21,31,1,2,8,7,21,2010-2011
144,Landry Fields,NYK,4,70.6,7,3,15,0.2,0,4,0.0,1,6,0.167,1,4,5,5,2,3,4,0,2010-2011
1,Kobe Bryant,LAL,23,922.7,671,234,511,0.458,49,131,0.374,154,183,0.842,26,112,138,126,31,16,79,75,2009-2010
2,Paul Pierce,BOS,24,929.8,451,147,336,0.438,40,102,0.392,117,142,0.824,20,123,143,82,24,14,64,80,2009-2010
3,Pau Gasol,LAL,23,913.2,450,165,306,0.539,0,3,0.0,120,158,0.759,92,163,255,81,9,48,44,63,2009-2010
4,Ray Allen,BOS,24,925.0,387,131,304,0.431,56,145,0.386,69,80,0.863,12,68,80,63,22,3,36,74,2009-2010
5,Rajon Rondo,BOS,24,974.8,379,151,326,0.463,9,24,0.375,68,114,0.596,38,96,134,223,46,3,72,57,2009-2010
6,Amar'e Stoudemire,PHX,16,584.0,355,124,239,0.519,0,4,0.0,107,142,0.754,46,60,106,18,11,24,40,54,2009-2010
7,Kevin Garnett,BOS,23,765.7,345,149,301,0.495,0,2,0.0,47,56,0.839,32,138,170,58,26,20,31,74,2009-2010
8,LeBron James,CLE,11,459.9,320,106,211,0.502,20,50,0.4,88,120,0.733,15,87,102,84,19,20,42,23,2009-2010
9,Jason Richardson,PHX,16,533.1,316,112,223,0.502,48,101,0.475,44,58,0.759,18,69,87,17,17,4,10,35,2009-2010
10,Steve Nash,PHX,16,538.6,284,99,191,0.518,19,50,0.38,67,75,0.893,6,46,52,161,4,1,60,20,2009-2010
11,Jameer Nelson,ORL,14,479.5,266,91,190,0.479,33,84,0.393,51,62,0.823,9,41,50,67,14,0,35,38,2009-2010
12,Metta World Peace,LAL,23,838.9,258,101,254,0.398,34,117,0.291,22,38,0.579,33,58,91,49,35,12,25,67,2009-2010
13,Dwight Howard,ORL,14,497.0,254,86,140,0.614,0,0,0.0,82,158,0.519,38,117,155,19,11,49,51,59,2009-2010
14,Deron Williams,UTA,10,398.0,243,67,149,0.45,20,51,0.392,89,111,0.802,4,23,27,102,10,4,30,37,2009-2010
15,Derek Fisher,LAL,23,754.5,237,82,183,0.448,27,75,0.36,46,56,0.821,9,49,58,64,28,1,36,83,2009-2010
16,Lamar Odom,LAL,23,667.3,222,91,194,0.469,10,41,0.244,30,50,0.6,60,138,198,46,15,21,28,84,2009-2010
17,Vince Carter,ORL,14,479.5,217,74,184,0.402,12,51,0.235,57,69,0.826,9,50,59,32,12,3,22,50,2009-2010
18,Andrew Bynum,LAL,23,561.1,198,80,149,0.537,0,0,0.0,38,56,0.679,59,100,159,12,6,36,21,61,2009-2010
19,Carlos Boozer,UTA,10,401.6,197,89,168,0.53,0,0,0.0,19,35,0.543,33,99,132,30,4,7,24,38,2009-2010
20,Joe Johnson,ATL,11,440.5,197,77,199,0.387,9,41,0.22,34,42,0.81,20,36,56,55,10,3,25,22,2009-2010
21,Manu Ginobili,SAS,10,352.5,194,58,140,0.414,20,60,0.333,58,67,0.866,4,33,37,60,26,2,30,30,2009-2010
22,Tim Duncan,SAS,10,372.5,190,78,150,0.52,1,2,0.5,33,69,0.478,30,69,99,26,8,17,24,27,2009-2010
23,Carmelo Anthony,DEN,6,253.6,184,64,138,0.464,6,19,0.316,50,57,0.877,14,37,51,20,12,3,21,26,2009-2010
24,Paul Millsap,UTA,10,323.3,180,70,122,0.574,0,2,0.0,40,58,0.69,34,54,88,22,11,14,13,36,2009-2010
25,Rashard Lewis,ORL,14,512.3,180,66,143,0.462,28,75,0.373,20,25,0.8,15,64,79,32,15,10,25,38,2009-2010
26,Jamal Crawford,ATL,11,350.8,179,56,154,0.364,18,50,0.36,49,58,0.845,1,29,30,30,9,1,20,26,2009-2010
27,Glen Davis,BOS,24,482.5,175,59,124,0.476,0,3,0.0,57,79,0.722,39,70,109,10,19,9,22,54,2009-2010
28,Tony Parker,SAS,10,335.2,173,73,154,0.474,2,3,0.667,25,42,0.595,9,29,38,54,6,0,22,20,2009-2010
29,Antawn Jamison,CLE,11,374.7,168,64,137,0.467,10,39,0.256,30,41,0.732,16,65,81,14,7,11,18,38,2009-2010
30,Dwyane Wade,MIA,5,209.8,166,62,110,0.564,15,37,0.405,27,40,0.675,6,22,28,34,8,8,26,16,2009-2010
31,Al Horford,ATL,11,388.3,161,67,128,0.523,1,1,1.0,26,31,0.839,28,71,99,20,8,19,15,35,2009-2010
32,Dirk Nowitzki,DAL,6,233.1,160,58,106,0.547,4,7,0.571,40,42,0.952,7,42,49,18,5,4,10,15,2009-2010
33,Mo Williams,CLE,11,410.9,158,52,127,0.409,17,52,0.327,37,46,0.804,3,31,34,59,6,2,23,35,2009-2010
34,Josh Smith,ATL,11,392.1,155,62,129,0.481,2,6,0.333,29,44,0.659,37,62,99,29,13,19,17,30,2009-2010
35,Grant Hill,PHX,16,451.7,154,59,123,0.48,3,16,0.188,33,38,0.868,12,81,93,36,13,10,19,46,2009-2010
36,Kevin Durant,OKC,6,231.2,150,43,123,0.35,10,35,0.286,54,62,0.871,8,38,46,14,3,8,22,17,2009-2010
37,Rasheed Wallace,BOS,24,410.3,147,52,125,0.416,19,55,0.345,24,29,0.828,5,66,71,9,10,14,9,82,2009-2010
38,C.J. Miles,UTA,10,336.5,144,47,106,0.443,15,46,0.326,35,39,0.897,5,20,25,28,6,6,19,48,2009-2010
39,Derrick Rose,CHI,5,212.5,134,57,125,0.456,2,6,0.333,18,22,0.818,4,13,17,36,4,0,13,8,2009-2010
40,George Hill,SAS,10,344.4,134,46,102,0.451,11,29,0.379,31,37,0.838,5,26,31,7,10,2,8,21,2009-2010
41,Wesley Matthews,UTA,10,371.4,132,39,101,0.386,15,42,0.357,39,48,0.813,10,34,44,17,18,5,15,34,2009-2010
42,Kendrick Perkins,BOS,23,574.7,131,49,96,0.51,0,1,0.0,33,55,0.6,41,102,143,22,9,32,43,79,2009-2010
43,Channing Frye,PHX,16,434.6,131,43,118,0.364,30,86,0.349,15,16,0.938,10,80,90,15,12,9,8,50,2009-2010
44,Brandon Jennings,MIL,7,249.3,131,49,120,0.408,12,41,0.293,21,26,0.808,5,16,21,25,8,4,8,19,2009-2010
45,Shaquille O'Neal,CLE,11,243.2,127,48,93,0.516,0,0,0.0,31,47,0.66,21,40,61,15,2,13,24,41,2009-2010
46,Russell Westbrook,OKC,6,212.4,123,43,91,0.473,5,12,0.417,32,38,0.842,10,26,36,36,10,1,14,13,2009-2010
47,Jared Dudley,PHX,16,376.8,122,40,86,0.465,25,59,0.424,17,28,0.607,15,45,60,28,18,6,9,37,2009-2010
48,Goran Dragic,PHX,16,237.0,122,43,100,0.43,13,40,0.325,23,31,0.742,10,19,29,36,4,1,16,18,2009-2010
49,Tony Allen,BOS,24,391.5,122,47,98,0.48,0,5,0.0,28,36,0.778,13,28,41,17,25,14,23,58,2009-2010
50,Chauncey Billups,DEN,6,207.2,122,37,83,0.446,11,31,0.355,37,42,0.881,1,13,14,38,6,3,18,24,2009-2010
51,John Salmons,MIL,7,285.0,119,44,109,0.404,4,23,0.174,27,28,0.964,7,19,26,28,10,4,12,19,2009-2010
52,Mickael Pietrus,ORL,14,281.8,118,35,80,0.438,28,61,0.459,20,30,0.667,2,18,20,10,9,6,6,27,2009-2010
53,Caron Butler,DAL,6,202.1,118,43,99,0.434,7,23,0.304,25,27,0.926,3,32,35,8,9,5,15,16,2009-2010
54,Leandro Barbosa,PHX,16,249.6,115,43,103,0.417,12,35,0.343,17,24,0.708,2,19,21,20,5,2,15,33,2009-2010
55,LaMarcus Aldridge,POR,6,228.9,114,40,93,0.43,1,2,0.5,33,44,0.75,10,26,36,13,7,11,11,16,2009-2010
56,Shannon Brown,LAL,23,324.3,113,42,107,0.393,9,32,0.281,20,28,0.714,7,22,29,20,10,7,13,37,2009-2010
57,Jordan Farmar,LAL,23,301.0,105,38,94,0.404,20,50,0.4,9,13,0.692,1,26,27,32,17,0,20,30,2009-2010
58,J.J. Redick,ORL,14,268.9,105,30,71,0.423,15,35,0.429,30,35,0.857,4,20,24,19,10,0,20,22,2009-2010
59,Richard Jefferson,SAS,10,333.7,94,34,70,0.486,1,5,0.2,25,33,0.758,8,45,53,18,6,6,15,20,2009-2010
60,Andre Miller,POR,6,210.3,94,30,74,0.405,3,7,0.429,31,40,0.775,5,14,19,36,7,1,19,12,2009-2010
61,Luol Deng,CHI,5,202.6,94,37,80,0.463,1,12,0.083,19,26,0.731,8,17,25,7,6,4,3,15,2009-2010
62,Mike Bibby,ATL,11,292.4,93,36,80,0.45,14,34,0.412,7,10,0.7,5,23,28,28,9,0,12,26,2009-2010
63,Marvin Williams,ATL,11,344.7,92,31,79,0.392,1,2,0.5,29,32,0.906,23,40,63,8,6,5,5,20,2009-2010
64,Anthony Parker,CLE,11,330.9,91,30,64,0.469,20,44,0.455,11,15,0.733,1,25,26,14,9,3,11,16,2009-2010
65,Matt Barnes,ORL,14,325.8,89,30,75,0.4,12,32,0.375,17,20,0.85,16,50,66,19,10,3,10,28,2009-2010
66,Kyle Korver,UTA,10,210.2,83,32,61,0.525,11,23,0.478,8,9,0.889,0,11,11,13,5,0,7,22,2009-2010
67,Jerryd Bayless,POR,6,165.8,81,28,65,0.431,6,15,0.4,19,24,0.792,4,12,16,23,2,0,8,21,2009-2010
68,Jason Terry,DAL,6,173.7,76,26,69,0.377,12,30,0.4,12,16,0.75,2,13,15,12,4,1,6,16,2009-2010
69,Joakim Noah,CHI,5,188.2,74,28,53,0.528,0,0,0.0,18,19,0.947,20,45,65,13,9,7,15,20,2009-2010
70,Delonte West,CLE,11,268.7,74,28,67,0.418,3,19,0.158,15,16,0.938,6,15,21,29,9,3,19,16,2009-2010
71,Stephen Jackson,CHA,4,155.9,72,24,67,0.358,3,18,0.167,21,26,0.808,6,14,20,15,5,1,17,13,2009-2010
72,Nate Robinson,BOS,17,128.0,71,24,64,0.375,11,33,0.333,12,15,0.8,4,10,14,18,6,1,7,16,2009-2010
73,Jeff Green,OKC,6,223.7,71,23,70,0.329,8,27,0.296,17,20,0.85,6,22,28,10,4,3,6,16,2009-2010
74,Gerald Wallace,CHA,4,163.6,70,21,44,0.477,5,11,0.455,23,35,0.657,2,34,36,9,5,6,3,9,2009-2010
75,Carlos Delfino,MIL,7,225.6,70,26,73,0.356,15,37,0.405,3,4,0.75,3,25,28,18,5,2,12,14,2009-2010
76,Antonio McDyess,SAS,10,247.0,68,33,62,0.532,0,0,0.0,2,2,1.0,18,50,68,12,2,7,9,27,2009-2010
77,Ersan Ilyasova,MIL,7,156.6,68,24,50,0.48,5,14,0.357,15,18,0.833,21,32,53,3,5,1,10,14,2009-2010
78,J.R. Smith,DEN,6,159.2,67,21,57,0.368,11,31,0.355,14,16,0.875,5,18,23,10,4,2,6,17,2009-2010
79,Luc Mbah a Moute,MIL,7,178.4,64,26,50,0.52,0,2,0.0,12,20,0.6,14,25,39,5,2,0,7,15,2009-2010
80,Anderson Varejao,CLE,11,255.3,63,20,48,0.417,0,1,0.0,23,31,0.742,22,49,71,7,11,9,12,38,2009-2010
81,Kirk Hinrich,CHI,5,196.4,62,22,52,0.423,8,16,0.5,10,14,0.714,1,21,22,20,7,0,2,14,2009-2010
82,Kenyon Martin,DEN,6,205.0,60,24,50,0.48,0,1,0.0,12,19,0.632,14,36,50,8,9,7,11,27,2009-2010
83,Martell Webster,POR,6,151.9,59,22,52,0.423,5,17,0.294,10,18,0.556,7,19,26,4,5,3,3,13,2009-2010
84,Maybyner Nene,DEN,5,169.0,57,18,29,0.621,0,0,0.0,21,36,0.583,8,21,29,11,6,1,4,17,2009-2010
85,Luke Ridnour,MIL,7,121.2,57,21,45,0.467,5,14,0.357,10,12,0.833,4,9,13,13,4,1,10,13,2009-2010
86,Arron Afflalo,DEN,6,120.3,55,20,32,0.625,6,14,0.429,9,11,0.818,1,11,12,7,1,2,4,21,2009-2010
87,Mario Chalmers,MIA,5,130.5,54,18,40,0.45,7,20,0.35,11,13,0.846,1,8,9,13,3,0,12,18,2009-2010
88,Michael Beasley,MIA,5,135.0,52,22,49,0.449,1,2,0.5,7,9,0.778,10,19,29,3,4,0,13,10,2009-2010
89,Shawn Marion,DAL,6,148.3,52,24,59,0.407,0,4,0.0,4,5,0.8,7,18,25,6,1,3,8,12,2009-2010
