#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Season
43,Ben Simmons,PHI,12,402.2,143,59,95,0.621,0,1,0.0,25,73,0.342,25,70,95,106,15,10,27,39,2020-2021
44,LeBron James,LAL,6,223.6,140,54,114,0.474,18,48,0.375,14,23,0.609,7,36,43,48,9,2,25,7,2020-2021
45,Lou Williams,ATL,18,276.8,139,50,110,0.455,13,30,0.433,26,27,0.963,2,24,26,39,12,1,22,16,2020-2021
46,Monte Morris,DEN,10,286.4,137,50,116,0.431,16,40,0.4,21,29,0.724,7,17,24,55,10,2,7,12,2020-2021
47,Joe Harris,BRK,12,434.1,134,49,123,0.398,33,82,0.402,3,4,0.75,5,38,43,19,4,2,9,34,2020-2021
48,Bryn Forbes,MIL,20,273.2,131,46,112,0.411,33,89,0.371,6,8,0.75,2,26,28,6,2,2,7,16,2020-2021
49,Dillon Brooks,MEM,5,174.7,129,50,97,0.515,8,20,0.4,21,26,0.808,5,16,21,11,7,2,9,17,2020-2021
50,Royce O'Neale,UTA,11,403.8,124,43,85,0.506,28,60,0.467,10,12,0.833,16,64,80,23,12,3,8,41,2020-2021
51,C.J. McCollum,POR,6,239.6,124,50,114,0.439,14,42,0.333,10,13,0.769,6,30,36,26,2,4,12,25,2020-2021
52,Tim Hardaway Jr.,DAL,7,261.7,119,42,101,0.416,23,57,0.404,12,16,0.75,5,18,23,10,3,0,6,17,2020-2021
53,Joe Ingles,UTA,11,306.2,112,39,79,0.494,24,58,0.414,10,13,0.769,1,33,34,38,7,0,9,19,2020-2021
54,Aaron Gordon,DEN,10,298.7,111,43,99,0.434,9,23,0.391,16,25,0.64,21,33,54,20,5,3,14,23,2020-2021
55,Blake Griffin,BRK,12,317.6,108,42,79,0.532,14,36,0.389,10,14,0.714,15,56,71,21,10,6,5,40,2020-2021
56,Ivica Zubac,LAC,17,301.5,107,34,57,0.596,0,0,0.0,39,49,0.796,43,56,99,7,2,12,16,33,2020-2021
57,Norman Powell,POR,6,216.1,102,38,76,0.5,10,26,0.385,16,18,0.889,3,10,13,12,5,6,7,17,2020-2021
58,P.J. Tucker,MIL,23,681.0,98,38,98,0.388,19,59,0.322,3,4,0.75,48,63,111,25,22,3,10,77,2020-2021
59,Derrick Rose,NYK,5,174.9,97,40,84,0.476,8,17,0.471,9,9,1.0,4,16,20,25,2,1,8,5,2020-2021
60,"Bruce Brown, Jr.",BRK,12,277.3,95,40,79,0.506,2,11,0.182,13,16,0.813,23,38,61,25,8,5,11,31,2020-2021
61,Russell Westbrook,WAS,5,186.2,95,28,84,0.333,5,20,0.25,34,43,0.791,14,38,52,59,2,1,21,17,2020-2021
62,Facundo Campazzo,DEN,10,270.0,93,29,74,0.392,19,48,0.396,16,19,0.842,7,23,30,41,14,4,15,35,2020-2021
63,Mike Conley,UTA,6,175.6,92,29,68,0.426,18,37,0.486,16,16,1.0,3,18,21,46,1,3,14,15,2020-2021
64,Kristaps Porzingis,DAL,7,233.1,92,34,72,0.472,8,27,0.296,16,19,0.842,7,31,38,9,9,5,3,19,2020-2021
65,Austin Rivers,DEN,10,305.0,92,30,69,0.435,19,46,0.413,13,16,0.813,1,16,17,21,2,3,9,32,2020-2021
66,Julius Randle,NYK,5,180.3,90,28,94,0.298,11,33,0.333,23,27,0.852,11,47,58,20,3,0,23,18,2020-2021
67,Marcus Smart,BOS,5,183.1,89,29,66,0.439,16,43,0.372,15,21,0.714,4,18,22,30,5,1,14,14,2020-2021
68,Torrey Craig,PHX,22,265.6,87,32,75,0.427,15,37,0.405,8,13,0.615,19,44,63,9,1,8,10,33,2020-2021
69,Anthony Davis,LAL,5,143.9,87,25,62,0.403,2,11,0.182,35,42,0.833,7,26,33,13,3,8,6,9,2020-2021
70,Dennis Schroder,LAL,6,196.5,86,28,70,0.4,8,26,0.308,22,26,0.846,1,17,18,17,6,1,10,13,2020-2021
71,Furkan Korkmaz,PHI,12,194.5,84,30,73,0.411,14,44,0.318,10,14,0.714,4,20,24,7,7,3,5,9,2020-2021
72,Luke Kennard,LAC,15,219.4,84,31,65,0.477,21,51,0.412,1,2,0.5,5,9,14,7,2,0,3,15,2020-2021
73,Patrick Beverley,LAC,17,323.0,83,29,68,0.426,13,37,0.351,12,14,0.857,11,30,41,24,12,12,4,35,2020-2021
74,Jusuf Nurkic,POR,6,173.4,79,30,55,0.545,1,5,0.2,18,25,0.72,18,44,62,16,3,7,14,30,2020-2021
75,Evan Fournier,BOS,5,166.6,77,27,63,0.429,13,30,0.433,10,12,0.833,5,13,18,7,6,0,5,20,2020-2021
76,Tyrese Maxey,PHI,12,156.4,76,29,66,0.439,4,12,0.333,14,22,0.636,1,21,22,16,3,6,5,16,2020-2021
77,Jonas Valanciunas,MEM,5,165.6,75,33,58,0.569,2,8,0.25,7,8,0.875,20,29,49,13,3,3,10,18,2020-2021
78,Rui Hachimura,WAS,5,173.2,74,29,47,0.617,9,15,0.6,7,12,0.583,5,31,36,5,2,1,5,18,2020-2021
79,Carmelo Anthony,POR,6,143.3,74,25,60,0.417,14,37,0.378,10,11,0.909,2,17,19,9,2,1,7,15,2020-2021
80,Dorian Finney-Smith,DAL,7,270.6,72,26,64,0.406,16,37,0.432,4,5,0.8,17,29,46,15,8,2,12,23,2020-2021
81,R.J. Barrett,NYK,5,161.7,72,26,67,0.388,8,28,0.286,12,15,0.8,4,32,36,15,4,2,2,11,2020-2021
82,Alec Burks,NYK,5,128.0,70,24,56,0.429,8,24,0.333,14,19,0.737,5,20,25,13,1,0,4,11,2020-2021
83,"Jaren Jackson, Jr.",MEM,5,137.5,68,23,54,0.426,8,28,0.286,14,16,0.875,9,19,28,5,5,6,4,21,2020-2021
84,Goran Dragic,MIA,4,116.7,64,23,54,0.426,9,26,0.346,9,12,0.75,1,6,7,11,4,2,6,11,2020-2021
85,Dario Saric,PHX,14,146.8,63,21,45,0.467,8,18,0.444,13,14,0.929,9,26,35,14,2,1,6,21,2020-2021
86,Matisse Thybulle,PHI,12,219.8,63,25,52,0.481,11,34,0.324,2,5,0.4,4,13,17,3,16,11,2,29,2020-2021
87,Bam Adebayo,MIA,4,135.9,62,26,57,0.456,0,0,0.0,10,13,0.769,14,23,37,17,5,2,11,11,2020-2021
88,Daniel Gafford,WAS,5,117.1,59,22,26,0.846,0,0,0.0,15,24,0.625,14,15,29,3,5,10,3,17,2020-2021
89,Paul Millsap,DEN,9,109.1,58,22,50,0.44,6,23,0.261,8,13,0.615,9,26,35,15,3,6,8,14,2020-2021
90,Jimmy Butler,MIA,4,154.2,58,19,64,0.297,4,15,0.267,16,22,0.727,6,24,30,28,5,1,9,6,2020-2021
91,Dwight Howard,PHI,12,149.1,56,16,30,0.533,0,1,0.0,24,40,0.6,26,49,75,8,2,6,12,31,2020-2021
92,Robert Covington,POR,6,228.2,56,18,36,0.5,11,22,0.5,9,10,0.9,9,38,47,7,9,6,8,20,2020-2021
93,Danny Green,PHI,8,198.5,56,21,48,0.438,14,37,0.378,0,0,0.0,9,12,21,21,9,8,5,13,2020-2021
94,George Hill,PHI,12,205.2,56,19,43,0.442,8,19,0.421,10,13,0.769,5,11,16,18,8,3,10,18,2020-2021
95,Jalen Brunson,DAL,7,114.0,56,20,44,0.455,6,13,0.462,10,13,0.769,6,12,18,10,0,0,4,6,2020-2021
96,Rajon Rondo,LAC,13,220.2,55,18,53,0.34,11,28,0.393,8,12,0.667,4,30,34,50,5,3,14,18,2020-2021
97,JaMychal Green,DEN,10,189.8,54,20,45,0.444,6,20,0.3,8,9,0.889,17,35,52,11,2,2,3,12,2020-2021
98,De'Andre Hunter,ATL,5,151.7,54,18,45,0.4,6,16,0.375,12,16,0.75,2,18,20,3,1,3,7,11,2020-2021
99,Tristan Thompson,BOS,5,132.2,52,20,34,0.588,0,0,0.0,12,17,0.706,29,20,49,5,4,6,5,12,2020-2021
100,Shake Milton,PHI,12,120.8,52,15,47,0.319,8,19,0.421,14,15,0.933,0,9,9,9,3,1,11,18,2020-2021
101,Cam Reddish,ATL,4,92.0,51,19,36,0.528,9,14,0.643,4,5,0.8,1,13,14,7,6,2,5,11,2020-2021
102,Landry Shamet,BRK,12,206.3,50,18,41,0.439,10,26,0.385,4,5,0.8,3,18,21,7,5,1,6,19,2020-2021
103,Jeff Green,BRK,6,148.2,49,16,33,0.485,10,18,0.556,7,8,0.875,4,13,17,10,3,2,3,14,2020-2021
104,Will Barton,DEN,3,83.1,49,19,43,0.442,7,21,0.333,4,4,1.0,1,12,13,8,2,1,4,4,2020-2021
105,Onyeka Okongwu,ATL,18,165.9,48,17,31,0.548,0,1,0.0,14,21,0.667,21,27,48,2,5,13,4,28,2020-2021
106,Boban Marjanovic,DAL,4,83.4,47,20,39,0.513,0,0,0.0,7,9,0.778,14,18,32,4,0,1,4,13,2020-2021
107,Andre Drummond,LAL,5,104.8,45,19,32,0.594,0,0,0.0,7,10,0.7,19,36,55,0,4,3,11,12,2020-2021
108,Reggie Bullock,NYK,5,162.5,44,15,39,0.385,10,29,0.345,4,5,0.8,5,12,17,6,3,1,4,11,2020-2021
109,Kyle Anderson,MEM,5,142.0,42,18,42,0.429,3,12,0.25,3,4,0.75,4,21,25,16,14,0,4,9,2020-2021
110,Markus Howard,DEN,9,111.9,42,15,37,0.405,11,26,0.423,1,2,0.5,1,6,7,4,0,1,0,10,2020-2021
111,Duncan Robinson,MIA,4,99.6,41,11,29,0.379,10,27,0.37,9,10,0.9,0,11,11,3,3,0,4,13,2020-2021
112,Kendrick Nunn,MIA,4,93.2,41,17,43,0.395,5,18,0.278,2,2,1.0,0,6,6,6,2,0,3,4,2020-2021
113,Anfernee Simons,POR,6,107.3,39,14,25,0.56,11,18,0.611,0,0,0.0,3,13,16,5,2,1,1,6,2020-2021
114,Kyle Kuzma,LAL,6,129.4,38,14,48,0.292,4,23,0.174,6,9,0.667,4,19,23,7,2,1,6,8,2020-2021
115,Kemba Walker,BOS,3,90.9,38,13,41,0.317,3,17,0.176,9,10,0.9,0,12,12,12,1,0,8,10,2020-2021
116,Derrick Favors,UTA,11,144.6,37,16,23,0.696,0,0,0.0,5,9,0.556,19,27,46,3,2,10,6,25,2020-2021
117,Maxi Kleber,DAL,7,187.3,37,12,30,0.4,8,20,0.4,5,7,0.714,5,20,25,10,3,0,1,19,2020-2021
118,Robin Lopez,WAS,5,73.1,37,18,25,0.72,0,0,0.0,1,4,0.25,4,5,9,0,0,4,1,7,2020-2021
119,Tyler Herro,MIA,4,92.8,37,12,38,0.316,6,19,0.316,7,7,1.0,1,12,13,7,1,1,3,2,2020-2021
120,Davis Bertans,WAS,4,106.0,37,11,27,0.407,8,23,0.348,7,7,1.0,0,11,11,1,1,2,1,12,2020-2021
121,Romeo Langford,BOS,4,108.9,36,13,32,0.406,6,17,0.353,4,4,1.0,5,5,10,5,3,2,1,2,2020-2021
122,Georges Niang,UTA,11,128.8,35,11,39,0.282,9,30,0.3,4,4,1.0,2,17,19,8,0,1,8,19,2020-2021
123,Alex Caruso,LAL,6,120.7,35,14,38,0.368,5,17,0.294,2,2,1.0,2,6,8,3,1,4,7,12,2020-2021
124,Ish Smith,WAS,5,111.3,34,16,43,0.372,2,7,0.286,0,0,0.0,1,15,16,14,7,2,5,11,2020-2021
125,Josh Richardson,DAL,7,93.9,34,11,28,0.393,3,10,0.3,9,9,1.0,3,8,11,5,2,0,6,8,2020-2021
126,Mike James,BRK,9,102.7,33,14,43,0.326,5,16,0.313,0,0,0.0,2,14,16,12,2,0,3,6,2020-2021
127,Wesley Matthews,LAL,6,110.1,33,10,33,0.303,7,25,0.28,6,6,1.0,5,5,10,2,2,0,0,13,2020-2021
128,Obi Toppin,NYK,5,65.3,32,12,23,0.522,3,9,0.333,5,6,0.833,4,9,13,2,0,1,3,6,2020-2021
129,Jeff Teague,MIL,16,119.3,32,9,31,0.29,5,11,0.455,9,11,0.818,2,6,8,13,3,0,6,9,2020-2021
130,Raulzinho Neto,WAS,5,112.4,32,12,34,0.353,4,15,0.267,4,5,0.8,3,8,11,5,2,0,1,11,2020-2021
131,Grayson Allen,MEM,5,115.7,32,12,33,0.364,8,21,0.381,0,1,0.0,3,10,13,1,2,1,1,13,2020-2021
132,De'Anthony Melton,MEM,5,83.4,31,11,31,0.355,6,20,0.3,3,5,0.6,4,12,16,5,1,4,3,7,2020-2021
133,Kentavious Caldwell-Pope,LAL,5,145.6,31,11,29,0.379,4,19,0.211,5,5,1.0,2,12,14,5,5,0,2,15,2020-2021
134,Nicolas Claxton,BRK,12,129.5,30,14,29,0.483,0,0,0.0,2,3,0.667,14,19,33,7,4,12,4,20,2020-2021
135,Immanuel Quickley,NYK,5,77.2,29,10,33,0.303,4,11,0.364,5,7,0.714,0,7,7,5,3,0,6,8,2020-2021
136,Desmond Bane,MEM,5,99.1,28,11,19,0.579,6,12,0.5,0,0,0.0,2,15,17,10,4,2,3,6,2020-2021
137,Marc Gasol,LAL,5,87.5,26,8,13,0.615,7,11,0.636,3,4,0.75,4,15,19,15,4,4,4,16,2020-2021
138,Taj Gibson,NYK,5,137.9,25,12,20,0.6,0,0,0.0,1,1,1.0,16,19,35,4,8,5,3,13,2020-2021
139,Nerlens Noel,NYK,5,92.2,23,5,10,0.5,0,0,0.0,13,16,0.813,10,10,20,1,4,3,4,15,2020-2021
140,Frank Kaminsky,PHX,10,67.6,22,10,22,0.455,1,5,0.2,1,1,1.0,2,12,14,14,2,3,4,9,2020-2021
141,Trevor Ariza,MIA,4,96.0,19,7,23,0.304,5,17,0.294,0,0,0.0,2,21,23,2,3,1,3,11,2020-2021
142,Payton Pritchard,BOS,5,67.5,17,6,17,0.353,3,10,0.3,2,2,1.0,2,7,9,12,2,0,3,4,2020-2021
143,Tyler Johnson,BRK,8,69.1,17,6,17,0.353,3,11,0.273,2,2,1.0,2,4,6,5,2,0,1,9,2020-2021
144,Solomon Hill,ATL,14,145.0,17,6,24,0.25,3,18,0.167,2,4,0.5,3,16,19,3,2,1,1,18,2020-2021
145,Aaron Nesmith,BOS,5,74.9,16,5,18,0.278,4,14,0.286,2,2,1.0,2,11,13,1,1,1,2,7,2020-2021
146,Willie Cauley-Stein,DAL,6,62.8,15,6,9,0.667,0,0,0.0,3,3,1.0,3,13,16,3,2,4,3,8,2020-2021
147,Andre Iguodala,MIA,4,71.1,15,6,11,0.545,3,7,0.429,0,0,0.0,3,9,12,5,4,2,5,8,2020-2021
148,Donte DiVincenzo,MIL,3,69.8,8,3,16,0.188,2,12,0.167,0,0,0.0,2,17,19,8,3,1,6,4,2020-2021
149,Tony Snell,ATL,9,65.7,5,2,16,0.125,1,11,0.091,0,0,0.0,0,5,5,2,2,1,4,5,2020-2021
1,Anthony Davis,LAL,21,768.9,582,205,359,0.571,23,60,0.383,149,179,0.832,55,149,204,73,26,30,53,56,2019-2020
2,LeBron James,LAL,21,761.7,580,214,382,0.56,44,119,0.37,108,150,0.72,28,198,226,184,26,18,84,40,2019-2020
3,Jamal Murray,DEN,19,753.0,504,186,368,0.505,62,137,0.453,70,78,0.897,20,72,92,126,18,6,53,42,2019-2020
4,Jimmy Butler,MIA,21,806.5,467,144,295,0.488,15,43,0.349,164,191,0.859,46,90,136,127,41,14,59,37,2019-2020
5,Nikola Jokic,DEN,19,694.4,464,178,343,0.519,42,98,0.429,66,79,0.835,37,150,187,109,20,15,62,68,2019-2020
6,Jayson Tatum,BOS,17,690.3,437,145,334,0.434,47,126,0.373,100,123,0.813,22,148,170,85,17,20,48,41,2019-2020
